inglizcha	uzbekcha
ya	yo	
power	kuch	
sort	tartiblash	
special	maxsus	
serious	jiddiy	
street	street	
red	red	
dance	raqs	
hang	osib qo'ying	
touch	teginish	
team	jamoa	
playing	o'ynash	
company	kompaniya	
George	Jorj	
pull	Torting	
plan	reja	
sweet	shirin	
ten	o'n	
coffee	qahva	
lucky	baxtli	
sound	tovush	
safe	xavfsiz	
date	sana	
leaving	ketish	
parents	ota-onalar	
President	Prezident	
himself	o'zi	
seem	ko'rinadi	
lives	yashaydi	
air	havo	
taken	olingan	
York	York	
picture	rasm	
ladies	xonimlar	
Lord	Rabbim	
sent	yuborildi	
fast	tez	
happens	sodir bo'ladi	
Perhaps	Ehtimol	
catch	ushlamoq	
ride	minmoq	
win	g'alaba qozonish	
kidding	hazil	
top	yuqori	
scared	qo'rqib ketdi	
dream	dream	
sign	imzo	
meeting	uchrashuv	
sense	sense	
beat	mag'lub etish	
control	boshqaruv	
drop	tushirish	
cold	sovuq	
weeks	hafta	
darling	sevgilim	
figure	shakl	
king	shoh	
poor	kambag'al	
throw	otish	
asking	so'rab	
Joe	Jou	
write	yozmoq	
cannot	qila olmaydi	
suppose	taxmin qilaylik	
small	kichik	
human	inson	
piece	parcha	
boss	boshliq	
hospital	kasalxona	
Uncle	Uncle	
past	o'tmish	
calling	qo'ng'iroq qilish	
known	ma'lum	
follow	amal qiling	
Sam	Sem	
movie	kino	
ha	ha	
straight	To'g'riga	
Christmas	Rojdestvo	
weren	bor edi	
words	so'zlar	
clean	clean	
kiss	o'pish	
looked	looked	
feet	oyoq	
evening	oqshom	
million	million	
lie	lie	
felt	his qildim	
moving	harakatlanuvchi	
certainly	certainly	
step	qadam	
learn	o'rganish	
fall	yiqilish	
Bill	Bill	
questions	questions	
finally	nihoyat	
takes	oladi	
class	class	
quiet	tinch	
wonder	hayrat	
Goodbye	Xayr	
law	law	
become	become	
General	Umumiy	
worked	ishlagan	
rather	aksincha	
possible	possible	
goddamn	la'nat	
unless	agar bo'lmasa	
mad	Telba	
absolutely	mutlaqo	
tired	charchagan	
murder	qotillik	
road	yo'l	
Mike	Mayk	
eye	ko'z	
except	bundan mustasno	
somewhere	biron bir joyda	
explain	tushuntiring	
Charlie	Charli	
less	Kamroq	
none	none	
loved	sevgan	
giving	berib	
seeing	ko'rish	
Tom	Tom	
secret	sir	
wear	wear	
worth	arziydi	
act	harakat qilish	
careful	ehtiyot bo'ling	
quick	tez	
handle	tutqich	
pass	o'tish	
early	erta	
report	hisobot	
state	davlat	
busy	busy	
turned	o'girildi	
table	stol	
wake	uyg'onish	
works	ishlaydi	
broke	buzildi	
ball	to'p	
Major	Mayor	
seven	Yetti	
mouth	og'iz	
marry	uylanmoq	
meant	nazarda tutilgan	
fault	ayb	
lunch	tushlik	
Lieutenant	Leytenant	
Al	Al	
expect	kutmoq	
Hmm	Hmm	
Mama	Ona	
future	kelajak	
paper	qog'oz	
officer	ofitser	
hotel	hotel	
buddy	do'stim	
thinks	o'ylaydi	
Agent	Agent	
talked	suhbatlashdi	
blue	ko'k	
American	Amerika	
mistake	Xato	
Tv	TV	
David	Dovud	
ones	bittasi	
wedding	to'y	
clothes	kiyim-kechak	
weird	g'alati	
changed	o'zgargan	
court	sud	
floor	zamin	
watching	tomosha qilish	
building	bino	
earth	er	
dude	yigit	
others	boshqalar	
longer	uzoqroq	
forgot	unutdim	
finish	tugatish	
ship	kema	
club	club	
attention	diqqat	
eight	sakkiz	
worse	worse	
pain	og'riq	
Ben	Ben	
th	th	
sing	qo'shiq ayt	
blow	puflamoq	
choice	tanlov	
ls	ls	
Ray	Rey	
birthday	tug'ilgan kun	
stick	tayoq	
relax	Rohatlaning	
yesterday	kecha	
honor	sharaf	
smart	smart	
Colonel	Polkovnik	
boat	qayiq	
plane	samolyot	
month	oy	
lovely	yoqimli	
given	berilgan	
train	train	
L	L	
fair	adolatli	
worried	xavotirda	
Ooh	Ooh	
needed	kerak	
sitting	o'tirish	
security	xavfsizlik	
cover	qopqoq	
across	bo'ylab	
Paul	Pol	
bag	sumka	
terrible	qo'rqinchli	
caught	ushlandi	
song	Qo'shiq	
spend	sarf qilmoq	
horse	ot	
ring	uzuk	
sell	sotmoq	
return	qaytish	
personal	shaxsiy	
C	C	
message	xabar	
system	tizim	
afternoon	tushdan keyin	
Bob	Bob	
hasn	hasn	
happening	sodir bo'lmoqda	
tough	qattiq	
Christ	Masih	
Peter	Butrus	
quit	chiqish	
count	hisoblash	
box	quti	
missed	o'tkazib yuborilgan	
present	hozir	
kept	saqlangan	
charge	zaryadlash	
information	ma `lumot	
fool	fool	
simple	oddiy	
middle	o'rta	
calm	sokin	
surprise	ajablanib	
forever	abadiy	
decided	qaror qildi	
dark	qorong'i	
anywhere	har qanday joyda	
miles	milya	
swear	qasam ichish	
land	er	
Mary	Meri	
missing	yo'qolgan	
cute	yoqimli	
lying	yolg'on	
master	usta	
dress	kiyinish	
strong	kuchli	
key	kalit	
fix	tuzatish	
interesting	qiziqarli	
wearing	kiygan	
strange	g'alati	
Johnny	Jonni	
voice	ovoz	
rock	tosh	
cop	cop	
window	oyna	
bar	bar	
totally	umuman	
interested	manfaatdor	
appreciate	qadrlayman	
army	armiya	
paid	to'langan	
short	qisqa	
record	yozuv	
bought	sotib oldi	
card	karta	
certain	aniq	
y	y	
college	kollej	
fly	pashsha	
evidence	dalil	
bank	bank	
Besides	Bundan tashqari	
completely	to'liq	
ran	yugurdi	
cops	politsiyachilar	
B	B	
test	sinov	
history	tarix	
finished	tugadi	
born	tug'ilgan	
proud	mag'rur	
fish	baliq	
join	qo'shilish	
lead	qo'rg'oshin	
smell	hid	
near	yaqin	
apartment	apartment	
enjoy	zavqlaning	
letter	xat	
situation	vaziyat	
trip	sayohat	
Harry	Harry	
Mark	Mark	
store	do'kon	
Yo	Yo	
amazing	ajoyib	
star	Yulduz	
Danny	Denni	
accident	accident	
Il	Il	
imagine	tasavvur qiling	
Doc	Hujjat	
pleasure	pleasure	
ought	kerak	
list	ro'yxat	
rich	boy	
calls	qo'ng'iroqlar	
Jimmy	Jimmi	
service	xizmat	
entire	butun	
difference	difference	
judge	judge	
ice	muz	
lawyer	yurist	
fat	yog '	
Alright	Yaxshi	
instead	o'rniga	
age	yoshi	
station	stantsiya	
realize	realize	
gold	oltin	
J	J	
seat	o'rindiq	
liked	yoqdi	
hundred	yuz	
summer	yoz	
dollars	dollar	
standing	tik turib	
Angel	farishta	
mess	tartibsizlik	
America	Amerika	
Chief	Boshliq	
killing	o'ldirish	
radio	radio	
hungry	och	
problems	problems	
marriage	nikoh	
brain	brain	
soul	soul	
forgive	kechir	
drunk	drunk	
Henry	Henry	
deep	deep	
figured	shakllangan	
likes	yoqadi	
girlfriend	qiz do'sti	
folks	xalq	
slow	sekin	
private	xususiy	
during	davomida	
Ed	Ed	
attack	attack	
beer	beer	
definitely	definitely	
stopped	stopped	
partner	sherik	
walking	yurish	
area	area	
dangerous	xavfli	
offer	taklif	
scene	scene	
third	third	
upset	upset	
bus	avtobus	
owe	qarzdor	
shoes	poyabzal	
driving	haydash	
English	Ingliz tili	
Richard	Richard	
group	group	
ln	ln	
kick	kick	
evil	evil	
Joey	Joey	
joke	joke	
fell	yiqildi	
truck	yuk mashinasi	
teach	o'rgatish	
E	E	
ground	ground	
green	green	
loves	loves	
cash	naqd pul	
forward	forward	
honest	honest	
boyfriend	yigit	
park	park	
single	single	
position	pozitsiya	
respect	respect	
broken	broken	
crime	jinoyat	
wrote	yozgan	
public	jamoat	
Max	Max	
Mommy	Mommy	
Congratulations	Tabriklayman	
grab	qatnashmoq	
fighting	jang qilish	
art	san'at	
favor	yaxshilik	
upstairs	yuqori qavat	
wall	wall	
force	kuch	
seconds	soniya	
jail	jail	
push	Durang	
prove	isbotlash	
normal	normal	
protect	himoya qilmoq	
machine	mashina	
field	maydon	
R	R	
spent	sarflangan	
feels	his qiladi	
speaking	Gapirmoqda	
named	nomlangan	
jump	sakramoq	
starting	boshlanish	
saved	saqlandi	
nose	burun	
hide	hide	
sun	quyosh	
church	cherkov	
peace	tinchlik	
Professor	Professor	
Bobby	Bobbi	
share	ulush	
French	Frantsuz	
Steve	Stiv	
bullshit	axmoq	
moved	Ko'chib	
picked	tanlangan	
thousand	ming	
Paris	Parij	
holding	ushlab turish	
Billy	Billi	
fear	qo'rquv	
using	foydalanish	
la	la	
tape	lenta	
Tony	Toni	
suit	kostyum	
pictures	rasmlar	
Holy	Muqaddas	
putting	qo'yish	
involved	jalb qilingan	
gas	gaz	
books	kitoblar	
relationship	munosabatlar	
neither	neither	
nine	to'qqiz	
Pop	Pop	
rules	qoidalar	
bother	bezovta qil	
especially	ayniqsa	
nervous	asabiy	
whether	yo'qmi	
dying	o'lmoq	
stuck	tiqilib qoldi	
round	dumaloq	
dirty	iflos	
cat	mushuk	
breakfast	breakfast	
idiot	ahmoq	
space	space	
lived	yashagan	
prison	qamoqxona	
carry	carry	
James	Jeyms	
cry	yig'lamoq	
bastard	Ablah	
P	P	
smoke	tutun	
arm	qo'l	
film	film	
government	hukumat	
tree	daraxt	
foot	oyoq	
contact	aloqa	
knock	taqillatish	
agree	rozi bo'ling	
pardon	afv etish	
gives	beradi	
gift	sovg'a	
South	Janubiy	
dreams	orzular	
Jim	Jim	
hat	shapka	
sake	xayriyat	
sweetheart	Jonginam	
board	taxta	
seriously	jiddiy	
North	Shimoliy	
department	Bo'lim	
patient	patient	
awful	awful	
sad	qayg'uli	
wondering	hayron	
roll	rulon	
Robert	Robert	
beginning	boshlanish	
usually	odatda	
grand	katta	
Sergeant	Serjant	
laugh	kulmoq	
killer	qotil	
listening	listening	
doubt	shubha	
upon	ustiga	
double	ikki baravar	
twice	ikki marta	
whose	kimning	
outta	tashqarida	
plenty	mo'l-ko'l	
guilty	aybdor	
Jerry	Jerri	
promised	va'da qildi	
fired	otilgan	
race	poyga	
crap	axlat	
chicken	tovuq	
bathroom	hammom	
asshole	Tentak	
spot	dog '	
reading	o'qish	
orders	buyurtmalar	
weekend	dam olish kunlari	
Detective	Detective	
action	harakat	
Sheriff	Sherif	
eating	ovqatlanish	
glass	stakan	
type	turi	
guns	guns	
experience	tajriba	
West	G'arb	
obviously	aniq	
wine	vino	
Luke	Luke	
press	press	
difficult	qiyin	
lots	ko'p	
Brown	jigarrang	
Nick	Nik	
rid	xalos	
sea	dengiz	
arms	qo'llar	
flight	flight	
staying	qolish	
arrest	hibsga olish	
neck	bo'yin	
grow	o'sadi	
mention	mention	
favorite	favorite	
wind	shamol	
sleeping	uxlash	
notice	e'tibor bering	
admit	admit	
extra	qo'shimcha	
within	ichida	
low	past	
impossible	imkonsiz	
gay	gomoseksual	
computer	kompyuter	
angry	badjahl	
bunch	shamlardan	
blame	ayb	
pants	shim	
visit	tashrif	
clock	soat	
tea	choy	
fellow	o'rtoq	
kitchen	oshxona	
lay	yotish	
hole	teshik	
guard	qo'riqchi	
learned	learned	
smile	tabassum	
feelings	feelings	
fit	mos	
pal	pal	
bear	ayiq	
often	ko'pincha	
wild	yovvoyi	
silly	ahmoqona	
camera	kamera	
begin	boshlash	
reach	yetmoq	
Ow	Ow	
beach	plyaj	
Larry	Larri	
heaven	jannat	
lock	qulflash	
leg	oyoq	
quickly	tez	
lights	chiroqlar	
Kelly	Kelli	
worst	eng yomon	
shooting	otish	
played	o'ynadi	
plans	rejalar	
bucks	dollar	
suddenly	to'satdan	
writing	yozish	
track	trek	
teacher	o'qituvchi	
ridiculous	kulgili	
legs	oyoqlari	
river	daryo	
dare	jur'at	
burn	kuyish	
raise	oshirish	
Aunt	Xola	
Shh	Shh	
n	n	
Rory	Rori	
surprised	hayron qoldi	
decision	qaror	
cross	kesib o'tish	
cost	xarajat	
queen	malika	
fresh	yangi	
innocent	aybsiz	
emergency	favqulodda vaziyat	
medical	medical	
dancing	raqs	
cell	hujayra	
gotten	oldi	
seemed	tuyulardi	
bigger	kattaroq	
States	States	
closed	yopiq	
names	ismlar	
walked	yurdi	
bomb	bomba	
hanging	osilgan	
note	Eslatma	
shop	shop	
sweetie	shirinim	
nuts	yong'oq	
band	guruh	
losing	yutqazish	
price	narx	
steal	o'g'irlash	
waste	chiqindilar	
client	mijoz	
stole	o'g'irlagan	
crying	crying	
pressure	pressure	
code	kod	
places	joylar	
dogs	itlar	
Rose	Gul	
dick	dik	
accept	qabul qilish	
further	yanada	
excellent	excellent	
Aah	Aah	
magic	sehr	
drinking	ichish	
keeps	saqlaydi	
corner	burchak	
consider	o'ylab ko'ring	
ourselves	o'zimiz	
herself	o'zi	
acting	aktyorlik	
locked	locked	
laughing	kulib	
address	manzil	
copy	nusxa ko'chirish	
tells	aytadi	
warm	iliq	
sold	sotilgan	
pregnant	homilador	
hall	zal	
treat	davolash	
everywhere	hamma joyda	
Van	Van	
papers	hujjatlar	
complete	to'liq	
cup	chashka	
ways	yo'llari	
level	Daraja	
passed	o'tdi	
witness	guvoh	
eh	eh	
taste	ta'mi	
motherfucker	onaxon	
hardly	deyarli emas	
camp	lager	
keeping	saqlash	
Charles	Charlz	
keys	kalitlar	
Yep	Ha	
beg	iltimos qiling	
duty	burch	
Ms	Xonim	
interest	qiziqish	
tight	qattiq	
helping	yordam berish	
bottle	shisha	
support	qo'llab-quvvatlash	
Leo	Leo	
flying	uchish	
F	F	
decide	qaror qiling	
United	United	
St	St.	
turns	burilishlar	
moon	oy	
bottom	pastki	
hoping	umid qilish	
conversation	suhbat	
San	San	
hero	qahramon	
asleep	uxlab yotgan	
Roger	Rojer	
final	final	
continue	davom eting	
East	Sharq	
match	o'yin	
apologize	apologize	
trial	sud jarayoni	
spirit	ruh	
willing	tayyor	
chair	kafedra	
U	U	
risk	xavf	
study	o'rganish	
Amy	Emi	
possibly	ehtimol	
rain	yomg'ir	
above	yuqorida	
cousin	amakivachcha	
pulled	tortdi	
cream	qaymoq	
dropped	tushib ketdi	
excited	hayajonlangan	
memory	xotira	
breathe	nafas oling	
enemy	dushman	
huge	ulkan	
search	qidirmoq	
greatest	eng buyuk	
drugs	giyohvand moddalar	
beauty	go'zallik	
lately	so'nggi paytlarda	
Tommy	Tommi	
rule	qoida	
build	qurmoq	
choose	tanlang	
cards	kartalar	
Lee	Li	
advice	maslahat	
immediately	darhol	
teeth	tish	
became	bo'ldi	
victim	jabrlanuvchi	
Friday	Juma	
coach	murabbiy	
flowers	gullar	
showed	ko'rsatdi	
crew	crew	
Saturday	Shanba	
driver	haydovchi	
Apparently	Aftidan	
heavy	og'ir	
trick	trick	
empty	bo'sh	
comfortable	qulay	
destroy	yo'q qilish	
brothers	birodarlar	
mission	missiya	
Plus	Bundan tashqari	
apart	alohida	
pool	basseyn	
dumb	soqov	
dressed	kiyingan	
helped	yordam berdi	
knife	pichoq	
checked	tekshirildi	
Santa	Santa	
weapon	qurol	
restaurant	restoran	
shirt	ko'ylak	
faith	imon	
simply	shunchaki	
Gee	Gee	
dig	qazish	
size	hajmi	
stars	yulduzlar	
London	London	
movies	filmlar	
necessary	zarur	
themselves	o'zlari	
credit	kredit	
blind	blind	
starts	boshlanadi	
center	markaz	
bridge	ko'prik	
practice	practice	
closer	yaqinroq	
discuss	muhokama qilish	
cars	mashinalar	
mister	janob	
Grandma	Buvi	
cook	cook	
ticket	chipta	
strike	urish	
stage	bosqich	
animal	animal	
bird	qush	
leaves	barglar	
sight	ko'rish	
somehow	qandaydir tarzda	
following	quyidagi	
knowing	bilish	
drug	dori	
career	martaba	
nature	nature	
However	Ammo	
Prince	Shahzoda	
responsible	javobgar	
cake	tort	
famous	mashhur	
nurse	hamshira	
correct	to'g'ri	
breath	nafas	
fucked	bechora	
games	o'yinlar	
allowed	ruxsat berilgan	
sky	osmon	
bringing	olib kelish	
hearing	eshitish	
singing	qo'shiq aytish	
account	hisob qaydnomasi	
due	tufayli	
common	umumiy	
afford	imkoni bor	
tie	taqish	
Chinese	Xitoy	
bright	yorqin	
allow	ruxsat berish	
belong	tegishli	
concerned	manfaatdor	
escape	qochish	
suspect	shubhali	
written	yozilgan	
skin	teri	
file	fayl	
Jake	Jeyk	
madam	xonim	
fill	to'ldirish	
operation	operatsiya	
desk	stol	
taught	o'rgatgan	
Aye	Eh!	
pack	to'plami	
lied	yolg'on	
faster	Tezroq	
deserve	loyiq	
Ted	Ted	
danger	Xavf	
meat	go'sht	
command	buyruq	
stories	hikoyalar	
tickets	chiptalar	
paying	to'lash	
hiding	yashirish	
perfectly	Mukammal	
Sunday	yakshanba	
whoever	kim bo'lsa ham	
beyond	tashqarida	
Sarah	Sara	
Dave	Deyv	
student	talaba	
Jane	Jeyn	
dry	quruq	
jury	hakamlar hay'ati	
form	shakl	
main	asosiy	
heads	boshlar	
program	dastur	
Papa	Papa	
Martin	Martin	
milk	sut	
G	G	
Fred	Fred	
held	o'tkazildi	
horrible	dahshatli	
kinda	kinda	
feed	ozuqa	
de	de	
natural	tabiiy	
Grace	Inoyat	
breaking	buzish	
battle	jang	
ugly	xunuk	
Phoebe	Fibi	
coat	palto	
Although	Garchi	
settle	joylashmoq	
opinion	fikr	
Washington	Vashington	
ho	ho	
terrific	dahshatli	
According	Ko'ra	
older	katta	
gentleman	janob	
Lucy	Lyusi	
noticed	payqadi	
loose	bo'shashgan	
local	mahalliy	
lonely	yolg'izlik	
shame	uyat	
Otherwise	Aks holda	
shows	ko'rsatuvlari	
large	katta	
devil	shayton	
video	video	
speed	tezlik	
military	harbiy	
Chicago	Chikago	
built	qurilgan	
shower	dush	
oil	moy	
opportunity	imkoniyat	
chest	ko'krak qafasi	
horses	otlar	
biggest	eng katta	
threw	tashladi	
bite	tishlamoq	
Eric	Erik	
Aw	Aw	
wash	yuvish	
stone	tosh	
block	blokirovka qilish	
records	yozuvlar	
indeed	haqiqatdan ham	
weapons	qurol	
invited	taklif qilingan	
turning	burilish	
draw	chizish	
attorney	advokat	
pretend	go'yo	
health	sog'liq	
Vegas	Vegas	
balls	sharlar	
heat	issiqlik	
manager	menejer	
guest	mehmon	
loud	baland	
itself	o'zi	
fantastic	hayoliy	
cares	g'amxo'rlik qiladi	
shake	silkit	
numbers	raqamlar	
lab	laboratoriya	
princess	malika	
island	orol	
easier	Sekinroq	
color	rang	
earlier	oldinroq	
bell	qo'ng'iroq	
